,Title,Year,Director,Genre,years_since_release
0,Wicked,2024,Jon M. Chu,Musical,2
6,Parasite,2019,Bong Joon-ho,Thriller,7
12,Everything Everywhere All at Once,2022,Daniel Kwan; Daniel Scheinert,Sci-Fi,4
14,Spider-Man: Into the Spider-Verse,2018,Bob Persichetti; Peter Ramsey; Rodney Rothman,Animation,8
16,Black Panther,2018,Ryan Coogler,Action,8
17,Oppenheimer,2023,Christopher Nolan,Biography,3
21,Nobody 2,2025,Timo Tjahjanto,Action comedy,1
22,K-Pop Demon Hunters,2025,Maggie Kang;Chris Appelhans,Animation,1
23,Sinners,2025,Ryan Coogler,Horror,1
24,Project Hail Mary,2026,"Phil Lord, Chris Miller",Sci-fi,0
